,TỔNG TÀI SẢN NGẮN HẠN,Tiền và tương đương tiền,Giá trị thuần đầu tư ngắn hạn,Các khoản phải thu,Hàng tồn kho ròng,Tài sản lưu động khác,TỔNG TÀI SẢN DÀI HẠN,Phải thu dài hạn,Tài sản cổ định,Giá trị ròng tài sản đầu tư,Đầu tư dài hạn,Lợi thế thương mại,Tài sản dài hạn khác,TỔNG TÀI SẢN,NỢ PHẢI TRẢ,Nợ ngắn hạn,Nợ dài hạn,VỐN CHỦ SỞ HỮU,Vốn và các quỹ,Các quỹ khác,Lãi chưa phân phối,Vốn Ngân sách nhà nước và quỹ khác,LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ,TỔNG NGUỒN VỐN,Year,Symbol
0,"5,66","5,55",-,-,-,"0,11","0,45",-,"0,45",-,-,-,-,"6,11","0,21","0,03","0,18","5,90","5,90",-,"0,10",-,-,"6,11",2006,DXG
1,"62,23","31,56",-,"16,29","11,03","3,36","1,47",-,"1,13",-,-,-,"0,34","63,70","37,44","37,19","0,25","26,26","26,26",-,"11,26",-,-,"63,70",2007,DXG
2,"268,80","39,66",-,"163,74","47,39","18,01","36,44",-,"2,48",-,"1,39","32,13","0,44","305,24","189,60","186,54","3,06","90,64","90,47",-,"7,05","0,17","24,99","305,24",2008,DXG
3,"452,73","78,03",-,"107,24","167,48","99,97","94,82",-,"9,60",-,"51,45","29,01","4,76","547,54","397,11","386,82","10,29","123,27","123,21","0,68","38,42","0,06","27,17","547,54",2009,DXG
4,"540,86","161,56",-,"206,68","124,53","48,08","146,89",-,"13,81",-,"94,49","25,79","12,81","687,76","398,77","380,94","17,83","243,60","243,60","5,38","71,57",-,"45,39","687,76",2010,DXG
5,"585,93","107,36",-,"346,46","84,10","48,02","300,31",-,"14,69","25,41","199,35","56,21","4,64","886,24","429,07","413,73","15,34","401,39","401,39","6,77","42,24",-,"55,79","886,24",2011,DXG
6,"580,62","136,05",-,"281,68","129,21","33,68","235,83",-,"13,17","24,54","176,96","15,11","6,05","816,45","236,86","232,96","3,90","555,74","555,74","7,64","96,06",-,"23,86","816,45",2012,DXG
7,"934,03","72,89",-,"385,71","432,79","42,65","334,18",-,"12,15","23,66","228,69","12,54","57,14","1.268,22","604,60","531,23","73,37","633,13","633,13","9,43","84,04",-,"30,48","1.268,22",2013,DXG
8,"1.755,83","776,34",-,"473,57","499,21","6,71","404,62","0,71","10,01","22,78","331,28",-,"39,64","2.160,45","1.088,23","893,21","195,02","1.072,23","1.072,23",-,"229,08",-,"69,47","2.160,45",2014,DXG
9,"2.986,76","909,52",-,"925,13","1.122,03","30,07","586,59","1,01","21,04","22,56","392,68",-,"117,40","3.573,35","1.801,99","1.516,71","285,27","1.771,36","1.771,36",-,"382,01",-,-,"3.573,35",2015,DXG
10,"4.627,03","1.818,22",-,"1.865,02","915,50","28,29","935,76","2,74","38,86","37,84","580,05",-,"124,43","5.562,79","2.025,44","1.527,60","497,83","3.537,36","3.537,36",-,"676,75",-,-,"5.562,79",2016,DXG
